week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
2017-10-05,2017,2018,10,1,40,1,soybean oil,world,8465,8465,77102,33842,10956,85567,0,0,Metric Tons
2017-10-12,2017,2018,10,1,41,2,soybean oil,world,6458,14923,98088,28019,27444,113011,0,0,Metric Tons
2017-10-19,2017,2018,10,1,42,3,soybean oil,world,4784,19707,121165,27955,27861,140872,0,0,Metric Tons
2017-10-26,2017,2018,10,1,43,4,soybean oil,world,41809,61516,106396,29694,27040,167912,0,0,Metric Tons
2017-11-02,2017,2018,11,2,44,5,soybean oil,world,6971,68487,115341,15916,15916,183828,0,0,Metric Tons
2017-11-09,2017,2018,11,2,45,6,soybean oil,world,12660,81147,105345,2733,2664,186492,0,0,Metric Tons
2017-11-16,2017,2018,11,2,46,7,soybean oil,world,5000,86147,104522,10158,4177,190669,0,0,Metric Tons
2017-11-23,2017,2018,11,2,47,8,soybean oil,world,30711,116858,85396,18589,11585,202254,1361,1361,Metric Tons
2017-11-30,2017,2018,11,2,48,9,soybean oil,world,2152,119010,104273,21174,21029,223283,1361,0,Metric Tons
2017-12-07,2017,2018,12,3,49,10,soybean oil,world,11989,130999,106806,14579,14522,237805,1361,0,Metric Tons
2017-12-14,2017,2018,12,3,50,11,soybean oil,world,15661,146660,115389,26560,24244,262049,1361,0,Metric Tons
2017-12-21,2017,2018,12,3,51,12,soybean oil,world,3975,150635,155613,44199,44199,306248,1361,0,Metric Tons
2017-12-28,2017,2018,12,3,52,13,soybean oil,world,31488,182123,141981,18072,17856,324104,1361,0,Metric Tons
2018-01-04,2018,2018,1,4,1,14,soybean oil,world,13794,195917,126575,3468,-1612,322492,1361,0,Metric Tons
2018-01-11,2018,2018,1,4,2,15,soybean oil,world,12943,208860,141554,27947,27922,350414,1361,0,Metric Tons
2018-01-18,2018,2018,1,4,3,16,soybean oil,world,38318,247178,114988,11755,11752,362166,1361,0,Metric Tons
2018-01-25,2018,2018,1,4,4,17,soybean oil,world,6241,253419,167527,59215,58780,420946,1361,0,Metric Tons
2018-02-01,2018,2018,2,5,5,18,soybean oil,world,8517,261936,166803,7839,7793,428739,1361,0,Metric Tons
2018-02-08,2018,2018,2,5,6,19,soybean oil,world,42843,304779,148365,25229,24405,453144,544,-817,Metric Tons
2018-02-15,2018,2018,2,5,7,20,soybean oil,world,9046,313825,182233,43030,42914,496058,796,252,Metric Tons
2018-02-22,2018,2018,2,5,8,21,soybean oil,world,18157,331982,180696,21983,16620,512678,796,0,Metric Tons
2018-03-01,2018,2018,3,6,9,22,soybean oil,world,16552,348534,198186,42147,34042,546720,796,0,Metric Tons
2018-03-08,2018,2018,3,6,10,23,soybean oil,world,20541,369075,209240,41152,31595,578315,796,0,Metric Tons
2018-03-15,2018,2018,3,6,11,24,soybean oil,world,11530,380605,234214,43921,36504,614819,796,0,Metric Tons
2018-03-22,2018,2018,3,6,12,25,soybean oil,world,30393,410998,238410,34763,34589,649408,796,0,Metric Tons
2018-03-29,2018,2018,3,6,13,26,soybean oil,world,18779,429777,263157,53526,43526,692934,796,0,Metric Tons
2018-04-05,2018,2018,4,7,14,27,soybean oil,world,2898,432675,282302,24043,22043,714977,796,0,Metric Tons
2018-04-12,2018,2018,4,7,15,28,soybean oil,world,50785,483460,259562,28070,28045,743022,796,0,Metric Tons
2018-04-19,2018,2018,4,7,16,29,soybean oil,world,3047,486507,267752,11241,11237,754259,796,0,Metric Tons
2018-04-26,2018,2018,4,7,17,30,soybean oil,world,4093,490600,308158,45317,44499,798758,796,0,Metric Tons
2018-05-03,2018,2018,5,8,18,31,soybean oil,world,72268,562868,281282,58794,45392,844150,1803,1007,Metric Tons
2018-05-10,2018,2018,5,8,19,32,soybean oil,world,40195,603063,251272,10698,10185,854335,1803,0,Metric Tons
2018-05-17,2018,2018,5,8,20,33,soybean oil,world,12866,615929,256104,20938,17698,872033,1803,0,Metric Tons
2018-05-24,2018,2018,5,8,21,34,soybean oil,world,43106,659035,216006,6011,3008,875041,1803,0,Metric Tons
2018-05-31,2018,2018,5,8,22,35,soybean oil,world,39381,698416,186625,10091,10000,885041,2348,545,Metric Tons
2018-06-07,2018,2018,6,9,23,36,soybean oil,world,15408,713824,170996,6879,-221,884820,10348,8000,Metric Tons
2018-06-14,2018,2018,6,9,24,37,soybean oil,world,29896,743720,157088,15988,15988,900808,13137,2789,Metric Tons
2018-06-21,2018,2018,6,9,25,38,soybean oil,world,7472,751192,180145,32534,30529,931337,15487,2350,Metric Tons
2018-06-28,2018,2018,6,9,26,39,soybean oil,world,34193,785385,182546,40794,36594,967931,19290,3803,Metric Tons
2018-07-05,2018,2018,7,10,27,40,soybean oil,world,5645,791030,204400,27499,27499,995430,23199,3909,Metric Tons
2018-07-12,2018,2018,7,10,28,41,soybean oil,world,20374,811404,194952,11355,10926,1006356,32399,9200,Metric Tons
2018-07-19,2018,2018,7,10,29,42,soybean oil,world,29408,840812,161102,13665,-4442,1001914,37783,5384,Metric Tons
2018-07-26,2018,2018,7,10,30,43,soybean oil,world,18406,859218,156866,14192,14170,1016084,39110,1327,Metric Tons
2018-08-02,2018,2018,8,11,31,44,soybean oil,world,22239,881457,145530,17115,10903,1026987,39110,0,Metric Tons
2018-08-09,2018,2018,8,11,32,45,soybean oil,world,17062,898519,133309,4841,4841,1031828,39393,283,Metric Tons
2018-08-16,2018,2018,8,11,33,46,soybean oil,world,14391,912910,124094,5177,5176,1037004,40532,1139,Metric Tons
2018-08-23,2018,2018,8,11,34,47,soybean oil,world,11726,924636,136391,25226,24023,1061027,40532,0,Metric Tons
2018-08-30,2018,2018,8,11,35,48,soybean oil,world,42657,967293,90001,4352,-3733,1057294,41873,1341,Metric Tons
2018-09-06,2018,2018,9,12,36,49,soybean oil,world,1691,968984,93036,4732,4726,1062020,47049,5176,Metric Tons
2018-09-13,2018,2018,9,12,37,50,soybean oil,world,10047,979031,92557,9569,9568,1071588,55603,8554,Metric Tons
2018-09-20,2018,2018,9,12,38,51,soybean oil,world,19213,998244,76001,2660,2657,1074245,63553,7950,Metric Tons
2018-09-27,2018,2018,9,12,39,52,soybean oil,world,15569,1013813,68019,7588,7587,1081832,73239,9686,Metric Tons
2018-10-04,2018,2018,10,1,40,53,soybean oil,world,3714,1017527,65029,764,724,1082556,143221,11439,Metric Tons
2016-06-02,2016,2017,6,1,22,1,wheat,world,120655,120655,5643912,1642152,223818,5764567,0,0,Metric Tons
2016-06-09,2016,2017,6,1,23,2,wheat,world,351758,472413,6055027,783421,762873,6527440,0,0,Metric Tons
2016-06-16,2016,2017,6,1,24,3,wheat,world,579309,1051722,5938453,487850,462735,6990175,2500,2500,Metric Tons
2016-06-23,2016,2017,6,1,25,4,wheat,world,530661,1582383,6053127,700153,645335,7635510,2500,0,Metric Tons
2016-06-30,2016,2017,6,1,26,5,wheat,world,533635,2116018,6344817,901882,825325,8460835,2500,0,Metric Tons
2016-07-07,2016,2017,7,2,27,6,wheat,world,341312,2457330,6321235,396971,317730,8778565,2500,0,Metric Tons
2016-07-14,2016,2017,7,2,28,7,wheat,world,360581,2817911,6438618,487115,477964,9256529,2500,0,Metric Tons
2016-07-21,2016,2017,7,2,29,8,wheat,world,549900,3367811,6394826,511689,506108,9762637,2500,0,Metric Tons
2016-07-28,2016,2017,7,2,30,9,wheat,world,578192,3946003,6143119,406421,326485,10089122,46500,44000,Metric Tons
2016-08-04,2016,2017,8,3,31,10,wheat,world,405767,4351770,6344919,609579,607567,10696689,46500,0,Metric Tons
2016-08-11,2016,2017,8,3,32,11,wheat,world,717928,5069698,6116525,524940,489534,11186223,46500,0,Metric Tons
2016-08-18,2016,2017,8,3,33,12,wheat,world,564033,5633731,5932214,385241,379722,11565945,46500,0,Metric Tons
2016-08-25,2016,2017,8,3,34,13,wheat,world,594139,6227870,5617512,345486,279437,11845382,53500,7000,Metric Tons
2016-09-01,2016,2017,9,4,35,14,wheat,world,630938,6858808,5647662,747099,661088,12506470,54500,1000,Metric Tons
2016-09-08,2016,2017,9,4,36,15,wheat,world,708506,7567314,5341348,435579,402192,12908662,47500,-7000,Metric Tons
2016-09-15,2016,2017,9,4,37,16,wheat,world,551625,8118939,5350705,566326,560982,13469644,47500,0,Metric Tons
2016-09-22,2016,2017,9,4,38,17,wheat,world,843433,8962372,5078057,595594,570785,14040429,47500,0,Metric Tons
2016-09-29,2016,2017,9,4,39,18,wheat,world,700687,9663059,4754396,396925,377026,14417455,47500,0,Metric Tons
2016-10-06,2016,2017,10,5,40,19,wheat,world,378634,10041693,4866740,517995,490978,14908433,79550,32050,Metric Tons
2016-10-13,2016,2017,10,5,41,20,wheat,world,461499,10503192,4918994,520681,513753,15422186,79550,0,Metric Tons
2016-10-20,2016,2017,10,5,42,21,wheat,world,264075,10767267,5301068,655722,646149,16068335,105863,26313,Metric Tons
2016-10-27,2016,2017,10,5,43,22,wheat,world,327105,11094372,5208843,259419,234880,16303215,105863,0,Metric Tons
2016-11-03,2016,2017,11,6,44,23,wheat,world,380218,11474590,5598206,787113,769581,17072796,105863,0,Metric Tons
2016-11-10,2016,2017,11,6,45,24,wheat,world,402004,11876594,5794583,633814,598381,17671177,105863,0,Metric Tons
2016-11-17,2016,2017,11,6,46,25,wheat,world,378096,12254690,6127520,886539,711033,18382210,105863,0,Metric Tons
2016-11-24,2016,2017,11,6,47,26,wheat,world,238411,12493101,6372576,494069,483467,18865677,112863,7000,Metric Tons
2016-12-01,2016,2017,12,7,48,27,wheat,world,555500,13048601,6320152,522841,503076,19368753,137012,24149,Metric Tons
2016-12-08,2016,2017,12,7,49,28,wheat,world,421974,13470575,6429522,568747,531344,19900097,170012,33000,Metric Tons
2016-12-15,2016,2017,12,7,50,29,wheat,world,411636,13882211,6315702,382320,297816,20197913,170012,0,Metric Tons
2016-12-22,2016,2017,12,7,51,30,wheat,world,481905,14364116,6401847,595901,568050,20765963,184435,14423,Metric Tons
2016-12-29,2016,2017,12,7,52,31,wheat,world,426066,14790182,6159452,187428,183671,20949634,184435,0,Metric Tons
2017-01-05,2017,2017,1,8,1,32,wheat,world,172256,14962438,6378156,429297,390960,21340594,184435,0,Metric Tons
2017-01-12,2017,2017,1,8,2,33,wheat,world,394776,15357214,6225897,245776,242517,21583111,244935,60500,Metric Tons
2017-01-19,2017,2017,1,8,3,34,wheat,world,296745,15653959,6782508,856060,853356,22436467,348835,103900,Metric Tons
2017-01-26,2017,2017,1,8,4,35,wheat,world,324159,15978118,6909564,468533,451215,22887682,407835,59000,Metric Tons
2017-02-02,2017,2017,2,9,5,36,wheat,world,601046,16579164,6830679,607690,522161,23409843,424165,16330,Metric Tons
2017-02-09,2017,2017,2,9,6,37,wheat,world,345101,16924265,7010719,574218,525141,23934984,443665,19500,Metric Tons
2017-02-16,2017,2017,2,9,7,38,wheat,world,629023,17553288,6833022,457802,451326,24386310,700165,256500,Metric Tons
2017-02-23,2017,2017,2,9,8,39,wheat,world,512952,18066240,6644200,423875,324130,24710440,798965,98800,Metric Tons
2017-03-02,2017,2017,3,10,9,40,wheat,world,450462,18516702,6585302,476068,391564,25102004,838985,40020,Metric Tons
2017-03-09,2017,2017,3,10,10,41,wheat,world,619308,19136010,6230443,365928,264449,25366453,913185,74200,Metric Tons
2017-03-16,2017,2017,3,10,11,42,wheat,world,648736,19784746,6000184,438388,418477,25784930,1062975,149790,Metric Tons
2017-03-23,2017,2017,3,10,12,43,wheat,world,495443,20280189,5968860,473506,464119,26249049,1226485,163510,Metric Tons
2017-03-30,2017,2017,3,10,13,44,wheat,world,564943,20845132,5972311,600822,568394,26817443,1313485,87000,Metric Tons
2017-04-06,2017,2017,4,11,14,45,wheat,world,634316,21479448,5759605,521283,421610,27239053,1438771,125286,Metric Tons
2017-04-13,2017,2017,4,11,15,46,wheat,world,740762,22220210,5432807,479815,413964,27653017,1575946,137175,Metric Tons
2017-04-20,2017,2017,4,11,16,47,wheat,world,612655,22832865,4881826,218155,61674,27714691,1881366,305420,Metric Tons
2017-04-27,2017,2017,4,11,17,48,wheat,world,622854,23455719,4517361,339012,258389,27973080,2444716,563350,Metric Tons
2017-05-04,2017,2017,5,12,18,49,wheat,world,595827,24051546,3897378,60530,-24156,27948924,2718148,273432,Metric Tons
2017-05-11,2017,2017,5,12,19,50,wheat,world,673203,24724749,3471740,287427,247565,28196489,3111219,393071,Metric Tons
2017-05-18,2017,2017,5,12,20,51,wheat,world,733589,25458338,2940002,261776,201851,28398340,3454132,342913,Metric Tons
2017-05-25,2017,2017,5,12,21,52,wheat,world,583543,26041881,2327466,32297,-28993,28369347,4264436,810304,Metric Tons
2017-06-01,2017,2017,6,1,22,53,wheat,world,470933,26512814,1883378,58150,26845,28396192,6514914,461012,Metric Tons
2023-09-07,2023,2024,9,1,36,1,corn,world,726028,726028,10433897,802989,753298,11159925,145020,25400,Metric Tons
2023-09-14,2023,2024,9,1,37,2,corn,world,602519,1328547,10398235,739062,566857,11726782,145020,0,Metric Tons
2023-09-21,2023,2024,9,1,38,3,corn,world,729976,2058523,10510042,926650,841783,12568565,160260,15240,Metric Tons
2023-09-28,2023,2024,9,1,39,4,corn,world,612369,2670892,11713637,2156219,1815964,14384529,771649,611389,Metric Tons
2023-10-05,2023,2024,10,2,40,5,corn,world,812877,3483769,11811171,927269,910411,15294940,859033,87384,Metric Tons
2023-10-12,2023,2024,10,2,41,6,corn,world,516294,4000063,12176222,905056,881345,16176285,869161,10128,Metric Tons
2023-10-19,2023,2024,10,2,42,7,corn,world,483692,4483755,13043618,1438775,1351088,17527373,885164,16003,Metric Tons
2023-10-26,2023,2024,10,2,43,8,corn,world,505885,4989640,13285803,1002206,748070,18275443,897865,12701,Metric Tons
2023-11-02,2023,2024,11,3,44,9,corn,world,824884,5814524,13476239,1080566,1015320,19290763,1037865,140000,Metric Tons
2023-11-09,2023,2024,11,3,45,10,corn,world,683062,6497586,14600701,1882509,1807524,21098287,1037865,0,Metric Tons
2023-11-16,2023,2024,11,3,46,11,corn,world,623813,7121399,15409295,1525090,1432407,22530694,1037865,0,Metric Tons
2023-11-23,2023,2024,11,3,47,12,corn,world,499858,7621257,16837197,1996293,1927760,24458454,1037865,0,Metric Tons
2023-11-30,2023,2024,11,3,48,13,corn,world,1086074,8707331,17040010,1309631,1288887,25747341,1060726,22861,Metric Tons
2023-12-07,2023,2024,12,4,49,14,corn,world,850964,9558295,17607683,1512775,1418637,27165978,1060726,0,Metric Tons
2023-12-14,2023,2024,12,4,50,15,corn,world,870882,10429177,17749896,1149967,1013095,28179073,1061726,1000,Metric Tons
2023-12-21,2023,2024,12,4,51,16,corn,world,1279454,11708631,17712558,1404632,1242116,29421189,1072926,11200,Metric Tons
2023-12-28,2023,2024,12,4,52,17,corn,world,681465,12390096,17398577,583418,367484,29788673,1072704,-222,Metric Tons
2024-01-04,2024,2024,1,5,1,18,corn,world,1037102,13427198,16849084,617008,487609,30276282,1072704,0,Metric Tons
2024-01-11,2024,2024,1,5,2,19,corn,world,1000420,14427618,17099773,1595330,1251109,31527391,1092704,20000,Metric Tons
2024-01-18,2024,2024,1,5,3,20,corn,world,931753,15359371,17122816,1141883,954796,32482187,1130345,37641,Metric Tons
2024-01-25,2024,2024,1,5,4,21,corn,world,911350,16270721,17418184,1213573,1206718,33688905,1274835,144490,Metric Tons
2024-02-01,2024,2024,2,6,5,22,corn,world,782753,17053474,17854756,1355584,1219325,34908230,1274835,0,Metric Tons
2024-02-08,2024,2024,2,6,6,23,corn,world,903258,17956732,18258387,1490248,1306889,36215119,1277135,2300,Metric Tons
2024-02-15,2024,2024,2,6,7,24,corn,world,1024525,18981257,18054281,909217,820419,37035538,1454840,177705,Metric Tons
2024-02-22,2024,2024,2,6,8,25,corn,world,1216166,20197423,17920443,1210659,1082328,38117866,1619840,165000,Metric Tons
2024-02-29,2024,2024,2,6,9,26,corn,world,1159489,21356912,17870545,1215191,1109591,39227457,1619840,0,Metric Tons
2024-03-07,2024,2024,3,7,10,27,corn,world,1258584,22615496,17895376,1414651,1283415,40510872,1619840,0,Metric Tons
2024-03-14,2024,2024,3,7,11,28,corn,world,1528506,24144002,17552677,1387304,1185807,41696679,1619840,0,Metric Tons
2024-03-21,2024,2024,3,7,12,29,corn,world,1234086,25378088,17525100,1274106,1206509,42903188,1746256,126416,Metric Tons
2024-03-28,2024,2024,3,7,13,30,corn,world,1641388,27019476,16831707,1256403,947995,43851183,1757654,11398,Metric Tons
2024-04-04,2024,2024,4,8,14,31,corn,world,1556797,28576273,15600389,619063,325479,44176662,1767154,9500,Metric Tons
2024-04-11,2024,2024,4,8,15,32,corn,world,1546246,30122519,14555309,774127,501166,44677828,1832154,65000,Metric Tons
2024-04-18,2024,2024,4,8,16,33,corn,world,1707722,31830241,14146005,1414856,1298418,45976246,2094436,262282,Metric Tons
2024-04-25,2024,2024,4,8,17,34,corn,world,1382349,33212590,13522122,1009424,758466,46734712,2128094,33658,Metric Tons
2024-05-02,2024,2024,5,9,18,35,corn,world,1231175,34443765,13180132,1056196,889185,47623897,2177224,49130,Metric Tons
2024-05-09,2024,2024,5,9,19,36,corn,world,952439,35396204,12969870,1009485,742177,48366074,2305462,128238,Metric Tons
2024-05-16,2024,2024,5,9,20,37,corn,world,1448552,36844756,12432469,990930,911151,49277225,2610414,304952,Metric Tons
2024-05-23,2024,2024,5,9,21,38,corn,world,1044434,37889190,12198183,964834,810148,50087373,2798177,187763,Metric Tons
2024-05-30,2024,2024,5,9,22,39,corn,world,1488649,39377839,11890472,1230904,1180938,51268311,2911434,113257,Metric Tons
2024-06-06,2024,2024,6,10,23,40,corn,world,1248952,40626791,11697631,1189299,1056111,52324422,2980897,69463,Metric Tons
2024-06-13,2024,2024,6,10,24,41,corn,world,1481696,42108487,10727367,789427,511432,52835854,3074537,93640,Metric Tons
2024-06-20,2024,2024,6,10,25,42,corn,world,1177179,43285666,10092365,748016,542177,53378031,3213835,139298,Metric Tons
2024-06-27,2024,2024,6,10,26,43,corn,world,894422,44180088,9555095,633079,357152,53735183,3525373,311538,Metric Tons
2024-07-04,2024,2024,7,11,27,44,corn,world,879095,45059183,9214331,581525,538331,54273514,3641869,116496,Metric Tons
2024-07-11,2024,2024,7,11,28,45,corn,world,1103800,46162983,8548371,467505,437840,54711354,4127550,485681,Metric Tons
2024-07-18,2024,2024,7,11,29,46,corn,world,1209827,47372810,7669924,382608,331380,55042734,4872743,745193,Metric Tons
2024-07-25,2024,2024,7,11,30,47,corn,world,1035102,48407912,6802686,261204,167864,55210598,5583631,710888,Metric Tons
2024-08-01,2024,2024,8,12,31,48,corn,world,1303324,49711236,5984809,619106,485447,55696045,5832693,249062,Metric Tons
2024-08-08,2024,2024,8,12,32,49,corn,world,1032655,50743891,5072631,291540,120477,55816522,6633211,800518,Metric Tons
2024-08-15,2024,2024,8,12,33,50,corn,world,1155930,51899821,4035824,234040,119123,55935645,7924386,1291175,Metric Tons
2024-08-22,2024,2024,8,12,34,51,corn,world,1048949,52948770,3002166,209872,15291,55950936,9418525,1494139,Metric Tons
2024-08-29,2024,2024,8,12,35,52,corn,world,1061155,54009925,1767914,108902,-173097,55777839,11241004,1822479,Metric Tons
2024-09-05,2024,2024,9,1,36,53,corn,world,267403,54277328,1453768,11798,-46743,55731096,12739635,666458,Metric Tons
2016-10-06,2016,2017,10,1,40,1,soybean meal,world,77668,77668,2865640,648042,119680,2943308,104788,0,Metric Tons
2016-10-13,2016,2017,10,1,41,2,soybean meal,world,96270,173938,3167375,400592,398005,3341313,104788,0,Metric Tons
2016-10-20,2016,2017,10,1,42,3,soybean meal,world,192069,366007,3121488,147903,146182,3487495,105188,400,Metric Tons
2016-10-27,2016,2017,10,1,43,4,soybean meal,world,150254,516261,3272238,334727,301004,3788499,109361,4173,Metric Tons
2016-11-03,2016,2017,11,2,44,5,soybean meal,world,243018,759279,3179133,178892,149913,3938412,115121,5760,Metric Tons
2016-11-10,2016,2017,11,2,45,6,soybean meal,world,162817,922096,3453722,440252,437406,4375818,115121,0,Metric Tons
2016-11-17,2016,2017,11,2,46,7,soybean meal,world,237175,1159271,3441079,252822,224532,4600350,114838,-283,Metric Tons
2016-11-24,2016,2017,11,2,47,8,soybean meal,world,144143,1303414,3447383,154415,150447,4750797,114838,0,Metric Tons
2016-12-01,2016,2017,12,3,48,9,soybean meal,world,201032,1504446,3468875,229869,222524,4973321,114838,0,Metric Tons
2016-12-08,2016,2017,12,3,49,10,soybean meal,world,193130,1697576,3475734,201382,199989,5173310,115050,212,Metric Tons
2016-12-15,2016,2017,12,3,50,11,soybean meal,world,282249,1979825,3332673,140658,139188,5312498,115547,497,Metric Tons
2016-12-22,2016,2017,12,3,51,12,soybean meal,world,199297,2179122,3385264,263861,251888,5564386,160016,44469,Metric Tons
2016-12-29,2016,2017,12,3,52,13,soybean meal,world,123157,2302279,3345413,97545,83306,5647692,160016,0,Metric Tons
2017-01-05,2017,2017,1,4,1,14,soybean meal,world,209649,2511928,3254878,124187,119114,5766806,161014,998,Metric Tons
2017-01-12,2017,2017,1,4,2,15,soybean meal,world,269744,2781672,3254911,280293,269777,6036583,209814,48800,Metric Tons
2017-01-19,2017,2017,1,4,3,16,soybean meal,world,212890,2994562,3318806,304124,276785,6313368,215877,6063,Metric Tons
2017-01-26,2017,2017,1,4,4,17,soybean meal,world,177058,3171620,3506757,368502,365009,6678377,246777,30900,Metric Tons
2017-02-02,2017,2017,2,5,5,18,soybean meal,world,314155,3485775,3540297,365834,347695,7026072,247756,979,Metric Tons
2017-02-09,2017,2017,2,5,6,19,soybean meal,world,184307,3670082,3427797,159391,71807,7097879,247733,-23,Metric Tons
2017-02-16,2017,2017,2,5,7,20,soybean meal,world,213124,3883206,3437677,232160,223004,7320883,255433,7700,Metric Tons
2017-02-23,2017,2017,2,5,8,21,soybean meal,world,224136,4107342,3353018,146887,139477,7460360,256858,1425,Metric Tons
2017-03-02,2017,2017,3,6,9,22,soybean meal,world,319946,4427288,3334931,305335,301859,7762219,256858,0,Metric Tons
2017-03-09,2017,2017,3,6,10,23,soybean meal,world,349574,4776862,3374828,397322,389471,8151690,261185,4327,Metric Tons
2017-03-16,2017,2017,3,6,11,24,soybean meal,world,328252,5105114,3173570,138109,126994,8278684,287815,26630,Metric Tons
2017-03-23,2017,2017,3,6,12,25,soybean meal,world,333288,5438402,2906171,167462,65889,8344573,286865,-950,Metric Tons
2017-03-30,2017,2017,3,6,13,26,soybean meal,world,254523,5692925,2880212,236349,228564,8573137,289676,2811,Metric Tons
2017-04-06,2017,2017,4,7,14,27,soybean meal,world,190588,5883513,2848364,170599,158740,8731877,369156,79480,Metric Tons
2017-04-13,2017,2017,4,7,15,28,soybean meal,world,197451,6080964,2785929,147572,135016,8866893,369273,117,Metric Tons
2017-04-20,2017,2017,4,7,16,29,soybean meal,world,170576,6251540,2727313,118611,111960,8978853,370634,1361,Metric Tons
2017-04-27,2017,2017,4,7,17,30,soybean meal,world,231024,6482564,2599871,108030,103582,9082435,376934,6300,Metric Tons
2017-05-04,2017,2017,5,8,18,31,soybean meal,world,125744,6608308,2611229,138497,137102,9219537,401647,24713,Metric Tons
2017-05-11,2017,2017,5,8,19,32,soybean meal,world,166627,6774935,2558179,135233,113577,9333114,461932,60285,Metric Tons
2017-05-18,2017,2017,5,8,20,33,soybean meal,world,149201,6924136,2533999,125333,125021,9458135,496805,34873,Metric Tons
2017-05-25,2017,2017,5,8,21,34,soybean meal,world,232971,7157107,2424590,127109,123562,9581697,497721,916,Metric Tons
2017-06-01,2017,2017,6,9,22,35,soybean meal,world,124258,7281365,2385185,86911,84853,9666550,512495,14774,Metric Tons
2017-06-08,2017,2017,6,9,23,36,soybean meal,world,215737,7497102,2336235,195848,166787,9833337,622939,110444,Metric Tons
2017-06-15,2017,2017,6,9,24,37,soybean meal,world,161766,7658868,2261117,91406,86648,9919985,668500,45561,Metric Tons
2017-06-22,2017,2017,6,9,25,38,soybean meal,world,168324,7827192,2130816,39982,38023,9958008,689889,21389,Metric Tons
2017-06-29,2017,2017,6,9,26,39,soybean meal,world,159254,7986446,2016651,94983,45089,10003097,725000,35111,Metric Tons
2017-07-06,2017,2017,7,10,27,40,soybean meal,world,128805,8115251,1891589,40434,3743,10006840,861972,136972,Metric Tons
2017-07-13,2017,2017,7,10,28,41,soybean meal,world,154998,8270249,1778005,90693,41414,10048254,937845,75873,Metric Tons
2017-07-20,2017,2017,7,10,29,42,soybean meal,world,115015,8385264,1669685,88604,6695,10054949,993005,55160,Metric Tons
2017-07-27,2017,2017,7,10,30,43,soybean meal,world,188892,8574156,1567935,141272,87142,10142091,1050698,57693,Metric Tons
2017-08-03,2017,2017,8,11,31,44,soybean meal,world,186120,8760276,1387814,87163,5999,10148090,1187229,136531,Metric Tons
2017-08-10,2017,2017,8,11,32,45,soybean meal,world,151161,8911437,1310868,118883,74215,10222305,1256067,68838,Metric Tons
2017-08-17,2017,2017,8,11,33,46,soybean meal,world,145563,9057000,1260260,131019,94955,10317260,1503232,247165,Metric Tons
2017-08-24,2017,2017,8,11,34,47,soybean meal,world,253911,9310911,1078055,74449,71706,10388966,1852084,348852,Metric Tons
2017-08-31,2017,2017,8,11,35,48,soybean meal,world,134514,9445425,1006007,80957,62466,10451432,2063984,211900,Metric Tons
2017-09-07,2017,2017,9,12,36,49,soybean meal,world,110902,9556327,933957,39607,38852,10490284,2172028,108044,Metric Tons
2017-09-14,2017,2017,9,12,37,50,soybean meal,world,154309,9710636,804897,29500,25249,10515533,2319212,147184,Metric Tons
2017-09-21,2017,2017,9,12,38,51,soybean meal,world,188847,9899483,529360,23229,-86690,10428843,2621035,301823,Metric Tons
2017-09-28,2017,2017,9,12,39,52,soybean meal,world,132070,10031553,409260,22944,11970,10440813,2949582,328547,Metric Tons
2017-10-05,2017,2017,10,1,40,53,soybean meal,world,133290,10164843,256463,12966,-19507,10421306,3273204,105494,Metric Tons
2021-10-07,2021,2022,10,1,40,1,soybean oil,world,522,522,104474,25110,19782,104996,0,0,Metric Tons
2021-10-14,2021,2022,10,1,41,2,soybean oil,world,8009,8531,99466,3066,3001,107997,65,65,Metric Tons
2021-10-21,2021,2022,10,1,42,3,soybean oil,world,2367,10898,111722,14623,14623,122620,65,0,Metric Tons
2021-10-28,2021,2022,10,1,43,4,soybean oil,world,10235,21133,112711,11224,11224,133844,65,0,Metric Tons
2021-11-04,2021,2022,11,2,44,5,soybean oil,world,6036,27169,117098,10423,10423,144267,65,0,Metric Tons
2021-11-11,2021,2022,11,2,45,6,soybean oil,world,1825,28994,182753,67480,67480,211747,40,-25,Metric Tons
2021-11-18,2021,2022,11,2,46,7,soybean oil,world,17986,46980,206801,51169,42034,253781,33,-7,Metric Tons
2021-11-25,2021,2022,11,2,47,8,soybean oil,world,44414,91394,211710,68406,49323,303104,33,0,Metric Tons
2021-12-02,2021,2022,12,3,48,9,soybean oil,world,31698,123092,185323,5312,5311,308415,91,58,Metric Tons
2021-12-09,2021,2022,12,3,49,10,soybean oil,world,10621,133713,185288,16107,10586,319001,102,11,Metric Tons
2021-12-16,2021,2022,12,3,50,11,soybean oil,world,4602,138315,290165,109479,109479,428480,91,-11,Metric Tons
2021-12-23,2021,2022,12,3,51,12,soybean oil,world,11943,150258,287524,15307,9302,437782,236,145,Metric Tons
2021-12-30,2021,2022,12,3,52,13,soybean oil,world,42299,192557,248132,3007,2907,440689,355,119,Metric Tons
2022-01-06,2022,2022,1,4,1,14,soybean oil,world,12582,205139,232614,603,-2936,437753,290,-65,Metric Tons
