market year,calendar year,calendar month,commodity,attribute,unit,amount,country
2025,2025,12,soybean meal,ending stocks,1000 metric tons,846.0,european
2025,2025,12,soybean meal,total distribution,1000 metric tons,31388.0,european
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,29900.0,european
2025,2025,12,corn,area harvested,1000 hectares,8150.0,european
2025,2025,12,corn,beginning stocks,1000 metric tons,6135.0,european
2025,2025,12,corn,production,1000 metric tons,56750.0,european
2025,2025,12,corn,imports,1000 metric tons,20000.0,european
2025,2025,12,corn,trade year imports,1000 metric tons,20000.0,european
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,european
2025,2025,12,corn,total supply,1000 metric tons,82885.0,european
2025,2025,12,corn,exports,1000 metric tons,1800.0,european
2025,2025,12,corn,trade year exports,1000 metric tons,1800.0,european
2025,2025,12,corn,feed domestic consumption,1000 metric tons,55200.0,european
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,20100.0,european
2025,2025,12,corn,domestic consumption,1000 metric tons,75300.0,european
2025,2025,12,corn,ending stocks,1000 metric tons,5785.0,european
2025,2025,12,corn,total distribution,1000 metric tons,82885.0,european
2025,2025,12,corn,yield,yield (metric tons per hectare),6.9632,european
2025,2025,12,soybean meal,crush,1000 metric tons,108000.0,china
2025,2025,12,soybean meal,extraction rate,percentage,0.792,china
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,943.0,china
2025,2025,12,soybean meal,production,1000 metric tons,85536.0,china
2025,2025,12,soybean meal,imports,1000 metric tons,50.0,china
2025,2025,12,soybean meal,total supply,1000 metric tons,86529.0,china
2025,2025,12,soybean meal,exports,1000 metric tons,1200.0,china
2025,2025,12,soybean meal,industrial domestic consumption,1000 metric tons,1150.0,china
2025,2025,12,soybean meal,food use domestic consumption,1000 metric tons,0.0,china
2025,2025,12,soybean meal,feed waste domestic consumption,1000 metric tons,83000.0,china
2025,2025,12,soybean meal,domestic consumption,1000 metric tons,84150.0,china
2025,2025,12,soybean meal,ending stocks,1000 metric tons,1179.0,china
2025,2025,12,soybean meal,total distribution,1000 metric tons,86529.0,china
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,83000.0,china
2025,2025,12,wheat,area harvested,1000 hectares,320.0,mexico
2025,2025,12,wheat,beginning stocks,1000 metric tons,855.0,mexico
2025,2025,12,wheat,production,1000 metric tons,1750.0,mexico
2025,2025,12,wheat,imports,1000 metric tons,6700.0,mexico
2025,2025,12,wheat,trade year imports,1000 metric tons,6700.0,mexico
2025,2025,12,wheat,trade year imports from u.s.,1000 metric tons,0.0,mexico
2025,2025,12,wheat,total supply,1000 metric tons,9305.0,mexico
2025,2025,12,wheat,exports,1000 metric tons,100.0,mexico
2025,2025,12,wheat,trade year exports,1000 metric tons,100.0,mexico
2025,2025,12,wheat,feed domestic consumption,1000 metric tons,350.0,mexico
2025,2025,12,wheat,"food, seed, and industrial consumption",1000 metric tons,8000.0,mexico
2025,2025,12,wheat,domestic consumption,1000 metric tons,8350.0,mexico
2025,2025,12,wheat,ending stocks,1000 metric tons,855.0,mexico
2025,2025,12,wheat,total distribution,1000 metric tons,9305.0,mexico
2025,2025,12,wheat,yield,yield (metric tons per hectare),5.4688,mexico
2025,2025,12,soybean oil,crush,1000 metric tons,69536.0,united
2025,2025,12,soybean oil,extraction rate,percentage,0.1967,united
2025,2025,12,soybean oil,beginning stocks,1000 metric tons,794.0,united
2025,2025,12,soybean oil,production,1000 metric tons,13676.0,united
2025,2025,12,soybean oil,imports,1000 metric tons,170.0,united
2025,2025,12,soybean oil,total supply,1000 metric tons,14640.0,united
2025,2025,12,soybean oil,exports,1000 metric tons,408.0,united
2025,2025,12,soybean oil,industrial domestic consumption,1000 metric tons,7031.0,united
2025,2025,12,soybean oil,food use domestic consumption,1000 metric tons,6418.0,united
2025,2025,12,soybean oil,feed waste domestic consumption,1000 metric tons,0.0,united
2025,2025,12,soybean oil,domestic consumption,1000 metric tons,13449.0,united
2025,2025,12,soybean oil,ending stocks,1000 metric tons,783.0,united
2025,2025,12,soybean oil,total distribution,1000 metric tons,14640.0,united
2025,2025,12,corn,area harvested,1000 hectares,6800.0,mexico
2025,2025,12,corn,beginning stocks,1000 metric tons,5661.0,mexico
2025,2025,12,corn,production,1000 metric tons,26000.0,mexico
2025,2025,12,corn,imports,1000 metric tons,25800.0,mexico
2025,2025,12,corn,trade year imports,1000 metric tons,25800.0,mexico
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,mexico
2025,2025,12,corn,total supply,1000 metric tons,57461.0,mexico
2025,2025,12,corn,exports,1000 metric tons,30.0,mexico
2025,2025,12,corn,trade year exports,1000 metric tons,30.0,mexico
2025,2025,12,corn,feed domestic consumption,1000 metric tons,29300.0,mexico
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,21700.0,mexico
2025,2025,12,corn,domestic consumption,1000 metric tons,51000.0,mexico
2025,2025,12,corn,ending stocks,1000 metric tons,6431.0,mexico
2025,2025,12,corn,total distribution,1000 metric tons,57461.0,mexico
2025,2025,12,corn,yield,yield (metric tons per hectare),3.8235,mexico
2025,2025,12,soybeans,area harvested,1000 hectares,32502.0,united
2025,2025,12,soybeans,beginning stocks,1000 metric tons,8614.0,united
2025,2025,12,soybeans,production,1000 metric tons,115751.0,united
2025,2025,12,soybeans,imports,1000 metric tons,544.0,united
2025,2025,12,soybeans,total supply,1000 metric tons,124909.0,united
2025,2025,12,soybeans,exports,1000 metric tons,44497.0,united
2025,2025,12,soybeans,crush,1000 metric tons,69536.0,united
2025,2025,12,soybeans,food use domestic consumption,1000 metric tons,0.0,united
2025,2025,12,soybeans,feed waste domestic consumption,1000 metric tons,2991.0,united
2025,2025,12,soybeans,domestic consumption,1000 metric tons,72527.0,united
2025,2025,12,soybeans,ending stocks,1000 metric tons,7885.0,united
2025,2025,12,soybeans,total distribution,1000 metric tons,124909.0,united
2025,2025,12,soybeans,yield,yield (metric tons per hectare),3.5614,united
2025,2025,12,soybean oil,crush,1000 metric tons,2350.0,japan
2025,2025,12,soybean oil,extraction rate,percentage,0.2047,japan
2025,2025,12,soybean oil,beginning stocks,1000 metric tons,20.0,japan
2025,2025,12,soybean oil,production,1000 metric tons,481.0,japan
2025,2025,12,soybean oil,imports,1000 metric tons,2.0,japan
2025,2025,12,soybean oil,total supply,1000 metric tons,503.0,japan
2025,2025,12,soybean oil,exports,1000 metric tons,1.0,japan
2025,2025,12,soybean oil,industrial domestic consumption,1000 metric tons,40.0,japan
2025,2025,12,soybean oil,food use domestic consumption,1000 metric tons,435.0,japan
2025,2025,12,soybean oil,feed waste domestic consumption,1000 metric tons,0.0,japan
2025,2025,12,soybean oil,domestic consumption,1000 metric tons,475.0,japan
2025,2025,12,soybean oil,ending stocks,1000 metric tons,27.0,japan
2025,2025,12,soybean oil,total distribution,1000 metric tons,503.0,japan
2025,2025,12,corn,area harvested,1000 hectares,4.0,japan
2025,2025,12,corn,beginning stocks,1000 metric tons,1371.0,japan
2025,2025,12,corn,production,1000 metric tons,21.0,japan
2025,2025,12,corn,imports,1000 metric tons,15500.0,japan
2025,2025,12,corn,trade year imports,1000 metric tons,15500.0,japan
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,japan
2025,2025,12,corn,total supply,1000 metric tons,16892.0,japan
2025,2025,12,corn,exports,1000 metric tons,0.0,japan
2025,2025,12,corn,trade year exports,1000 metric tons,0.0,japan
2025,2025,12,corn,feed domestic consumption,1000 metric tons,12200.0,japan
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,3300.0,japan
2025,2025,12,corn,domestic consumption,1000 metric tons,15500.0,japan
2025,2025,12,corn,ending stocks,1000 metric tons,1392.0,japan
2025,2025,12,corn,total distribution,1000 metric tons,16892.0,japan
2025,2025,12,corn,yield,yield (metric tons per hectare),5.25,japan
