date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,pakistan,0,1092731,0,0,0,1092731,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,pakistan,0,0,96,0,0,96,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,south-korea,0,291778,61585,0,0,353363,52705,6000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,thailand,65385,595842,64992,3805,2885,660834,55000,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,indonesia,47773,1494375,388668,21166,20979,1883043,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,indonesia,0,289254,50000,0,0,339254,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,indonesia,0,20444,1000,0,0,21444,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,bangladesh,0,58789,111,0,0,58900,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,european-union,0,3794981,0,0,0,3794981,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,china,0,335978,0,0,0,335978,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,world,82499,2909379,400258,9127,8737,3309637,238982,2000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,thailand,9526,188833,14500,1526,1526,203333,20000,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,south-korea,0,6177,6990,250,290,13167,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,guatemala,0,86056,3000,0,0,89056,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,honduras,0,233304,103833,5500,5500,337137,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,world,312402,9902222,4156837,212355,162339,14059059,218285,-1488,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,european-union,0,393264,39200,0,0,432464,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,japan,424793,9468642,3362389,227586,324219,12831031,466100,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,mexico,1118,75678,8630,839,839,84308,279,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,south-korea,409695,5610296,1940814,86082,345652,7551110,40,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,nigeria,13329,1061386,0,829,13329,1061386,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,colombia,77041,5184177,857095,18945,9098,6041272,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,canada,2122,31598,82447,15883,15883,114045,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,egypt,0,8000,0,0,0,8000,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,vietnam,0,227154,0,0,0,227154,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,philippines,2952,80875,29595,8055,8019,110470,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,philippines,306,204572,89887,7848,7848,294459,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,canada,13330,438916,183067,5522,5508,621983,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,world,9159,332473,31697,1591,1526,364170,315,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,world,524051,21058992,3444328,142224,129022,24503320,1333757,8000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,taiwan,86924,2004291,640539,4186,-63491,2644830,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,world,1952477,52472694,21630759,1664520,1316703,74103453,1930221,440110,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,taiwan,0,183642,36550,0,0,220192,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,china,446161,10081474,1454000,12311,11161,11535474,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,japan,76918,1545939,358938,30654,78712,1904877,54849,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,indonesia,2022,134279,41594,9500,9500,175873,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,canada,0,3564,519,0,0,4083,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,world,128864,7613938,1083178,70923,61935,8697116,244561,6000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,philippines,96000,2368340,525900,3500,1000,2894240,246800,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,philippines,2386,2030327,747566,3307,3234,2777893,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,thailand,52,3994,1100,700,700,5094,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,indonesia,0,213031,65000,0,0,278031,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,canada,509,16291,7170,0,0,23461,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,mexico,43438,1870634,373621,451,-1862,2244255,96706,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,guatemala,14268,339640,76513,7295,20268,416153,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,indonesia,57800,1020483,71000,4800,4800,1091483,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,japan,732,277138,110392,189,-696,387530,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,mexico,595474,15734133,5685289,301993,45219,21419422,1461541,440110,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,guatemala,5086,115279,11424,462,5086,126703,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,hrw-wheat,honduras,15062,95741,6000,737,562,101741,7000,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,nigeria,51062,1522163,36369,923,47431,1558532,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,vietnam,0,7231,0,0,0,7231,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,corn,european-union,124557,4824795,407844,25632,115631,5232639,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,honduras,22892,309210,31550,1367,1092,340760,40983,2000,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,taiwan,5717,1156667,113707,11885,11649,1270374,2000,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,vietnam,61938,544727,46583,4158,52005,591310,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,colombia,42887,1238796,344735,41866,5272,1583531,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,egypt,117566,3697373,726900,93566,93566,4424273,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,srw-wheat,china,0,68373,0,0,0,68373,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,canada,509,29612,9627,0,0,39239,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,8,16,33,soybeans,bangladesh,0,1132755,91400,0,0,1224155,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,11,16,46,wheat,vietnam,0,600473,24500,4500,4500,624973,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-oil,colombia,2600,31831,0,0,0,31831,0,0,Metric Tons
04-24-2026,2026-04-16,2026,2026,4,7,16,29,soybean-meal,bangladesh,0,104200,0,0,0,104200,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,world,1611,323314,39330,1966,1138,362644,315,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,canada,17017,425586,190889,12996,12996,616475,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,colombia,53505,1195909,382350,2964,2964,1578259,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,philippines,2375,77923,24528,10,10,102451,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,philippines,0,204266,82345,0,0,286611,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,canada,1381,29476,68686,26127,26127,98162,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,nigeria,52383,1471101,40000,2402,52383,1511101,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,colombia,181140,5107136,925038,36383,65426,6032174,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,thailand,448,3942,452,0,0,4394,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,vietnam,0,227154,0,0,0,227154,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,egypt,0,8000,0,0,0,8000,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,indonesia,0,962683,124000,0,0,1086683,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,nigeria,0,1048057,0,0,0,1048057,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,south-korea,137015,5200601,2004857,269948,333058,7205458,40,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,guatemala,0,294349,14424,0,0,308773,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,japan,132939,9043849,3462963,326943,399439,12506812,466100,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,china,0,68373,0,0,0,68373,0,0,Metric Tons
